,key,title,label,carrier
33,DO-1,The Iceman - Darkness Outtakes 1978 Vol.1,Scorpio {SCRP},1CD
34,DO-2,The Way - Darkness Outtakes 1978 Vol.2,Scorpio {SCRP},1CD
35,DO-3,The Promise - Darkness Outtakes 1978 Vol.3,Scorpio {SCRP},1CD
36,DROC1,The Definitive River Outtakes Collection Vol.1,E. St. Records {ESR},2CD
37,DROC2,The Definitive River Outtakes Collection Vol.2,E. St. Records {ESR},2CD
38,DT,The Demo Tapes,Traveling Productions {TP},1CD
39,EDR,The Early Demo Recordings,Vintage Masters {VM},3CD
40,ESR,E Street Rarities,,4CD
41,ET,"""E"" Ticket",Ruthless Rhymes {RR},1LP
42,ETRJ,"""E"" Ticket Revisited",JEMS,1CD
43,ETRV,"""E"" Ticket Revisited",Vintage Masters {VM},1CD
44,EY,The Early Years,Early Records {ER},1CD
45,FS,Forgotten Songs,Traveling Productions {TP},1CD
46,FFOD,Fistfull Of Dollars,E. St. Records {ESR},1CD
47,FOF,Fire On The Fingertips,,1LP
48,FOFC,Fire On The Fingertips,Chapter One Digital Records {CODR},1CD
49,GR,The Gospel's Rain,Lucky Touch Records {LTR},1CD
50,GS,Garage Sessions,Scorpio {SCRP},3CD
51,GT,The Genuine Tracks 1972-1996,Scorpio {SCRP},4CD
52,HD,Human Demos,Flamingo Records {FR},1CD
53,HDT,The Hammond Demo Tapes,Full Circle {FC},1LP
54,HNWB,How Nebraska Was Born - The Definitive Remastered Nebraska Outtakes,The Godfatherecords {GFR},2CD
55,HOD,The Heart Of Darkness,Skydisc {SD},1CD
56,LEK,Loose Ends,Kiss The Stone {KTS},1CD
57,LER,Loose Ends,Rough Cut Trax {RCT},1CD
58,LES,Loose Ends,Scorpio {SCRP},1CD
59,LM-1,The Lost Masters I - Alone In Colts Neck,Labour Of Love {LOL},1CD
60,LM-2,The Lost Masters II - One Way Street,Labour Of Love {LOL},1CD
